Type,ID,Name,Gender,DOB,Father,Mother,Pedigree Database #,GSDOG #,Renter,Display After
,ulana,Фонте Фиделити Улана,f,2020-03-21,helios,inessa,2988942,,,tekila
,ulk,Ulk von Arlett,,,,,,,,
,ulkan,Ulkan von Maikhus,m,,landos,nera,,,,
,umathurman,Antenor Hof Uma Thurman,,,,,,,,
,undina,Фанхил Хаус Ундина,f,,titan,hillari,750544,,,
,ustinov,Ustinov vom Römerland,,,quantum,kira,,,,
,ute,Ute vom Thermodos,,,,,,,,
,vegas,Vegas du Haut Mansard,,,,,,,,
,vivat,Фонте Фиделити Виват,m,2015-08-19,eiko,demetra,2424549,,,bosko
,vivian,Vivian vom Zellwaldrand,,,zamp,melinda,,,,
r,viviana,Хаус Велхольм Вивиана,f,2014-01-30,maybach,mabari,2156108,,,palmira
,yasko,Yasko vom Farbenspiel,,,,,,,,
,yunaru,Фанхил Хаус Юнару,f,2012-10-23,eltoro,hillari,1892025,23815,,
,zad,Zad Feetback,m,,,,,,,
,zakhar,Zakhar no Bārtas Krasta,m,,dasty,hardena,1974446,26000,,
,zamp,Zamp vom Thermodos,,,quantum,ute,,,,
,zearo,Zearo vom Zellwaldrand,,,floro,vivian,,,,
,zenta,Zenta vom Friedenspark,,,,,,,,
,zhak,Жак Ширак с Нижней Камы,m,,,,,,,
,zhakardi,Weitenshof Zhakardi,f,,phill,intriga,1893262,,,
,zhasmina,Фонте Фиделити Жасмина,f,2016-12-23,armour,nikoletta,2610971,,,zhofrei
b,zheneva,Фонте Фиделити Женева,f,2016-12-23,armour,nikoletta,2610976,31482,,alisha
,zhofrei,Фонте Фиделити Жофрей,m,2016-12-23,armour,nikoletta,2599793,,,elisei
